Metadata_Plate,Metadata_Well,Metadata_split,Metadata_Batch,Metadata_Perturbation,Metadata_Cell_type,Metadata_Time,Metadata_broad_sample,Metadata_control_type,Metadata_solvent,Metadata_pert_iname,Metadata_target,Metadata_target_list,Metadata_moa_list,Metadata_purity,Metadata_pert_type,Metadata_pubchem_cid,Metadata_smiles
BR00116993,K18,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K04210847-001-21-9,trt,DMSO,afimoxifene,PLD1,ESR1|ESR2|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ,estrogen receptor antagonist,47.2,trt,449459.0,CC\C(c1ccccc1)=C(/c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1
BR00116993,K19,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,K20,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K33882852-003-02-8,trt,DMSO,ZK-93423,GABRB2,GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,benzodiazepine receptor agonist,94.9,control,121926.0,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC
BR00116993,K21,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K20986415-001-02-6,trt,DMSO,RGB-286638,CDK9,CDK1|CDK2|CDK3|CDK4|CDK5|CDK6|CDK7|CDK9|FLT3|GSK3B|JAK2|MAP3K7|MAPK9,CDK inhibitor,91.9,trt,11285002.0,COCCN1CCN(Cc2ccc(cc2)-c2n[nH]c3-c4cccc(NC(=O)NN5CCOCC5)c4C(=O)c23)CC1
BR00116993,K22,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K87691185-001-01-2,trt,DMSO,FPS-ZM1,AGER,AGER,RAGE receptor antagonist,94.4,trt,24752728.0,Clc1ccc(cc1)C(=O)N(Cc1ccccc1)C1CCCCC1
BR00116993,K23,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K56740996-001-02-1,trt,DMSO,flindokalner,KCNMA1,KCNMA1|KCNN4|KCNQ2|KCNQ4|KCNQ5,potassium channel agonist,98.3,trt,214350.0,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(ccc12)C(F)(F)F
BR00116993,K24,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K99616396-316-05-3,trt,DMSO,motesanib,KDR,FLT1|FLT4|KDR|KIT,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,59.5,trt,11667893.0,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc12
BR00116993,L01,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K43570081-001-02-4,trt,DMSO,geldanamycin,HSP90AB1,HSP90AA1|HSP90AB1,HSP inhibitor,2.6,trt,13017912.0,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
BR00116993,L02,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,L03,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K32292990-001-03-6,trt,DMSO,CGP-53353,PRKCB,EGFR|PRKCB,EGFR inhibitor|PKC inhibitor,95.7,trt,6711154.0,Fc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc2ccc(F)cc2)cc1
BR00116993,L04,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K45293975-001-02-0,trt,DMSO,7-hydroxystaurosporine,PDPK1,CHEK1|MARK3|PDPK1,CDK inhibitor|CHK inhibitor|PKC inhibitor,3.5,trt,3078519.0,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4[C@H](O)NC(=O)c4c4c5ccccc5n2c4c13
BR00116993,L05,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,L06,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,L07,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K37355418-236-01-6,trt,DMSO,efaproxiral,HBB,HBA1|HBB,haemoglobin oxygen release stimulant,97.3,trt,122335.0,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(O)=O)cc2)c1
BR00116993,L08,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A37704979-001-12-3,trt,DMSO,SB-203580,MAPK14,AKT1|ALOX5|CHEK1|CYP2D6|CYP3A4|GAK|GSK3B|LCK|MAPK1|MAPK10|MAPK11|MAPK12|MAPK14|MAPK8|MAPK9|PRKCA|RAF1|RIPK2|ROCK1|RPS6KB1|SGK1|SRC|TNF,p38 MAPK inhibitor,98.9,control,176155.0,CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1
BR00116993,L09,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K58550667-001-08-7,trt,DMSO,FK-866,NAMPT,NAMPT,niacinamide phosphoribosyltransferase inhibitor,93.7,control,6914657.0,O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1
BR00116993,L10,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A91008255-003-24-8,trt,DMSO,bepridil,TNNC1,ATP1A1|CACNA1A|CACNA1H|CACNA2D2|CALM1|KCNQ1|KCNQ4|PDE1A|PDE1B|TNNC1,calcium channel blocker,92.9,trt,2351.0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
BR00116993,L11,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K59325863-001-04-4,trt,DMSO,delanzomib,CTSG,CMA1|CTSG|CYP3A4|ELANE,proteasome inhibitor,88.1,trt,24800541.0,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(n1)-c1ccccc1)[C@@H](C)O)B(O)O
BR00116993,L12,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K42191735-001-08-7,trt,DMSO,buparlisib,PIK3CG,PIK3CA|PIK3CG,PI3K inhibitor,89.0,control,16654980.0,Nc1cc(c(cn1)-c1cc(nc(n1)N1CCOCC1)N1CCOCC1)C(F)(F)F
BR00116993,L13,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K10843433-001-23-5,trt,DMSO,phenylbutazone,PTGIS,PTGIS|PTGS1|PTGS2,cyclooxygenase inhibitor|prostanoid receptor antagonist,69.8,trt,4781.0,CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1
BR00116993,L14,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K97010173-001-04-1,trt,DMSO,deferasirox,CYP3A4,CYP3A4,chelating agent,71.2,trt,,OC(=O)c1ccc(cc1)-n1nc(nc1-c1ccccc1O)-c1ccccc1O
BR00116993,L15,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,L16,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K86930074-001-05-0,trt,DMSO,cediranib,CSF1R,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,KIT inhibitor|VEGFR inhibitor,76.1,trt,9933475.0,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
BR00116993,L17,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A31564021-001-02-6,trt,DMSO,isoflurane,ATP5F1D,ATP2C1|ATP5F1D|CALM1|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9,inhaled anaesthetic,0.0,trt,3763.0,FC(F)OC(Cl)C(F)(F)F
BR00116993,L18,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,L19,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K08893438-001-06-4,trt,DMSO,CCG-50014,RGS4,RGS4|RGS8,G protein signaling inhibitor,74.6,trt,2733079.0,Cc1ccc(cc1)-n1sc(=O)n(Cc2ccc(F)cc2)c1=O
BR00116993,L20,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K93788137-001-04-1,trt,DMSO,PF-431396,PTK2B,PTK2|PTK2B,focal adhesion kinase inhibitor,96.5,trt,11598628.0,CN(c1ccccc1CNc1nc(Nc2ccc3NC(=O)Cc3c2)ncc1C(F)(F)F)S(C)(=O)=O
BR00116993,L21,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K14560436-001-01-4,trt,DMSO,TG-02,CDK9,CDK1|CDK2|CDK7|CDK9|FLT3|JAK2,CDK inhibitor|FLT3 inhibitor|JAK inhibitor,85.7,trt,16739650.0,CN1C\C=C\CCOc2cccc(c2)-c2ccnc(Nc3cccc(C1)c3)n2
BR00116993,L22,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K01826724-003-07-9,trt,DMSO,baclofen,KCTD16,GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,benzodiazepine receptor agonist,0.0,trt,2284.0,NCC(CC(O)=O)c1ccc(Cl)cc1
BR00116993,L23,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A20697603-001-07-2,trt,DMSO,thiostrepton,FOXM1,FOXM1,FOXM1 inhibitor|protein synthesis inhibitor,41.0,trt,101290202.0,CCC(C)C1NC2C=Cc3c(cc(nc3C2O)C(=O)OC(C)C2NC(=O)c3csc(n3)C(NC(=O)C3CSC(=N3)\C(NC(=O)C(NC(=O)c3csc(n3)C3(CCC(=NC3c3csc2n3)c2nc(cs2)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC1=O)C(C)O)=C/C)C(C)(O)C(C)O)C(C)O
BR00116993,L24,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K44067360-001-29-5,trt,DMSO,flufenamic-acid,GJB4,AKR1C3|ANO1|AR|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|PTGS1|PTGS2|TRPC5|TRPM2|TRPM5,chloride channel blocker,97.0,trt,3371.0,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
BR00116993,M01,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,M02,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K47557313-001-02-7,trt,DMSO,LY2109761,TGFBR1,TGFBR1|TGFBR2,TGF beta receptor inhibitor,91.9,trt,11655119.0,C(CN1CCOCC1)Oc1ccc2c(ccnc2c1)-c1c(nn2CCCc12)-c1ccccn1
BR00116993,M03,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K67637637-003-11-8,trt,DMSO,olopatadine,S100B,HRH1|S100A1|S100A12|S100A13|S100A2|S100B,histamine receptor antagonist,98.4,trt,25271818.0,CN(C)CC\C=C1\c2ccccc2COc2ccc(CC(O)=O)cc12
BR00116993,M04,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,M05,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K20897876-001-11-8,trt,DMSO,castanospermine,GAA,GAA|GBA,glucosidase inhibitor,0.0,trt,54445.0,O[C@H]1CCN2C[C@H](O)[C@@H](O)[C@H](O)[C@@H]12
BR00116993,M06,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K77627880-001-04-0,trt,DMSO,A205804,ICAM1,ICAM1|SELE,ICAM1 expression inhibitor,96.8,trt,9839311.0,Cc1ccc(Sc2cncc3sc(cc23)C(N)=O)cc1
BR00116993,M07,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K72063794-003-01-0,trt,DMSO,VU591,KCNJ1,KCNJ1,potassium channel blocker,95.3,trt,44123657.0,[O-][N+](=O)c1ccc2nc(COCc3nc4ccc(cc4[nH]3)[N+]([O-])=O)[nH]c2c1
BR00116993,M08,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K30177383-001-01-0,trt,DMSO,dalbavancin,PNLIP,PNLIP,bacterial cell wall synthesis inhibitor,79.3,trt,16134627.0,CN[C@@H]1c2ccc(O)c(Oc3cc(O)c(Cl)c(c3)[C@@H]3NC(=O)[C@@H](Cc4ccc(Oc5cc6cc(Oc7ccc(cc7Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]6NC3=O)c3ccc(O)c(c3)-c3c(O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)cc(O)cc3[C@H](NC7=O)C(=O)NCCCN(C)C)c5O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)C(O)=O)cc4)NC1=O)c2
BR00116993,M09,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K45746021-003-01-9,trt,DMSO,CC-401,MAPK8,MAPK8,JNK inhibitor,96.8,trt,10430360.0,C(CN1CCCCC1)Oc1cccc(c1)-c1n[nH]c2ccc(cc12)-c1ncn[nH]1
BR00116993,M10,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K38852836-001-04-9,trt,DMSO,ganetespib,HSP90AA1,HSP90AA1,HSP inhibitor,81.0,control,,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3n(C)ccc3c2)c(O)cc1O
BR00116993,M11,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K93779381-001-01-9,trt,DMSO,ingenol-mebutate,PRKCE,PRKCA|PRKCB|PRKCD|PRKCE|PRKCG,PKC activator,87.5,trt,6918670.0,C\C=C(\C)C(=O)O[C@H]1C(C)=C[C@@]23[C@H](C)C[C@@H]4[C@H]([C@H](C=C(CO)[C@@H](O)[C@]12O)C3=O)C4(C)C
BR00116993,M12,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K78126613-001-27-7,trt,DMSO,menadione,F10,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,0.0,trt,4055.0,CC1=CC(=O)c2ccccc2C1=O
BR00116993,M13,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K94863486-001-02-2,trt,DMSO,cetilistat,PNLIP,PNLIP,triacylglycerol lipase inhibitor,77.9,trt,9952916.0,CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1
BR00116993,M14,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K63430059-001-16-4,trt,DMSO,methoxsalen,CYP1A2,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,DNA synthesis inhibitor,97.7,trt,4114.0,COc1c2occc2cc2ccc(=O)oc12
BR00116993,M15,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K13533483-001-16-2,trt,DMSO,cyclosporine,FPR1,ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3,calcineurin inhibitor,97.8,trt,5284373.0,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
BR00116993,M16,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K81197548-003-01-4,trt,DMSO,NSC-632839,USP1,SENP2|USP1|USP2|USP7,ubiquitin specific protease inhibitor,93.4,control,5351363.0,Cc1ccc(cc1)\C=C1/CNC\C(C1=O)=C/c1ccc(C)cc1
BR00116993,M17,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,M18,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K97072811-001-11-4,trt,DMSO,TG-003,CLK1,CLK1|CLK4|DYRK1A|DYRK1B,CLK inhibitor,93.8,control,1893668.0,CCN1\C(Sc2ccc(OC)cc12)=C\C(C)=O
BR00116993,M19,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K52075715-001-06-7,trt,DMSO,oxibendazole,TUBB4B,TUBB|TUBB4B,tubulin polymerization inhibitor,90.9,trt,4622.0,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1
BR00116993,M20,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K12502280-001-11-4,trt,DMSO,TG-101348,BRD4,BRD4|JAK1|JAK2|JAK3|TYK2,FLT3 inhibitor|JAK inhibitor,80.1,control,16722836.0,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C
BR00116993,M21,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A63310107-001-04-8,trt,DMSO,miglitol,GAA,GAA|GANAB|GANC|MGAM,glucosidase inhibitor,0.0,trt,6710690.0,OCCN1C[C@@H](O)[C@@H](O)C(O)C1CO
BR00116993,M22,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,M23,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,M24,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K17849083-001-32-9,trt,DMSO,tranilast,HPGDS,HPGDS|HRH1,angiogenesis inhibitor,97.3,trt,5282230.0,COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC
BR00116993,N01,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K70821460-300-02-4,trt,DMSO,4-methylhistamine,HRH4,HRH4,histamine receptor agonist,78.0,trt,37463.0,Cc1nc[nH]c1CCN
BR00116993,N02,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K51485109-001-01-4,trt,DMSO,LDN-27219,TGM2,TGM2,tissue transglutaminase inhibitor,90.3,trt,1150683.0,NNC(=O)CSc1nc2scc(-c3ccccc3)c2c(=O)n1-c1ccccc1
BR00116993,N03,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K91370081-001-25-1,trt,DMSO,anisomycin,RPL23A,SNU13|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,DNA synthesis inhibitor,81.5,trt,253602.0,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1
BR00116993,N04,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K49350383-001-13-7,trt,DMSO,thioguanine,IMPDH1,IMPDH1|IMPDH2,purine antagonist,0.0,control,2723601.0,Nc1nc2nc[nH]c2c(=S)[nH]1
BR00116993,N05,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K11558771-001-13-9,trt,DMSO,droxinostat,HDAC6,HDAC6|HDAC8,HDAC inhibitor,70.7,trt,568416.0,Cc1cc(Cl)ccc1OCCCC(=O)NO
BR00116993,N06,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K91283740-003-01-6,trt,DMSO,UNC2025,FLT3,FLT3|MERTK,MER tyrosine kinase inhibitor|FLT3 inhibitor,95.7,control,,CCCCNc1ncc2c(cn([C@H]3CC[C@H](O)CC3)c2n1)-c1ccc(CN2CCN(C)CC2)cc1
BR00116993,N07,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,N08,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,N09,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K21728777-001-02-3,trt,DMSO,AMG900,AURKB,AURKA|AURKB|AURKC,Aurora kinase inhibitor,92.7,control,24856041.0,Cc1csc(c1)-c1nnc(Nc2ccc(Oc3ncccc3-c3ccnc(N)n3)cc2)c2ccccc12
BR00116993,N10,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A23124853-001-01-4,trt,DMSO,PF-06463922,ALK,ALK|FES|ROS1,ALK tyrosine kinase receptor inhibitor,96.8,trt,78162481.0,CC1Oc2cc(cnc2N)-c2c(CN(C)C(=O)c3ccc(F)cc13)nn(C)c2C#N
BR00116993,N11,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K55966568-001-09-6,trt,DMSO,orantinib,AURKB,AURKA|AURKB|EGFR|FGFR1|FGFR2|KDR|PDGFRA|PDGFRB,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,95.1,control,5329099.0,Cc1[nH]c(\C=C2/C(=O)Nc3ccccc23)c(C)c1CCC(O)=O
BR00116993,N12,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K71106091-001-09-5,trt,DMSO,fludarabine-phosphate,DCK,DCK|POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,ribonucleotide reductase inhibitor,0.0,trt,30751.0,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
BR00116993,N13,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K22149900-001-06-2,trt,DMSO,ceritinib,ALK,ALK|FLT3|IGF1R|INSR|TSSK1B,ALK tyrosine kinase receptor inhibitor,52.2,trt,57379345.0,CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
BR00116993,N14,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K28132190-001-02-0,trt,DMSO,NVS-PAK1-1,PAK1,PAK1,p21 activated kinase inhibitor,98.4,control,122187564.0,CC(C)NC(=O)N1CC[C@@H](C1)NC1=Nc2cc(F)ccc2N(CC(F)F)c2ccc(Cl)cc12
BR00116993,N15,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K76674262-001-03-3,trt,DMSO,homoharringtonine,RPL3,RPL3,protein synthesis inhibitor,77.6,trt,285033.0,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
BR00116993,N16,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K36461289-001-05-8,trt,DMSO,picrotoxinin,GLRA3,GLRA1|GLRA2|GLRA3|GLRB|HTR3A|HTR3B,GABA receptor antagonist,44.1,trt,7098683.0,CC(=C)[C@@H]1[C@H]2OC(=O)[C@H]1[C@]1(O)C[C@H]3O[C@]33C(=O)O[C@H]2[C@]13C
BR00116993,N17,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,N18,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K07881437-001-03-8,trt,DMSO,danusertib,RET,AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK,Aurora kinase inhibitor|growth factor receptor inhibitor,91.5,control,11442891.0,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N3CCN(C)CC3)c2C1)c1ccccc1
BR00116993,N19,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K61397605-001-01-8,trt,DMSO,romidepsin,HDAC3,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,HDAC inhibitor,92.7,control,5352062.0,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C
BR00116993,N20,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K61642990-001-01-0,trt,DMSO,FERb-033,ERBB2,ERBB2,EGFR inhibitor,0.0,control,,O\N=C\c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O
BR00116993,N21,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K37764012-001-03-3,trt,DMSO,PF-03758309,PAK4,PAK4,p21 activated kinase inhibitor,93.3,control,25227462.0,CN(C)C[C@@H](NC(=O)N1Cc2c(Nc3nc(C)nc4ccsc34)n[nH]c2C1(C)C)c1ccccc1
BR00116993,N22,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,N23,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K47978074-001-03-2,trt,DMSO,trometamol,VEGFA,AMD1|CANT1|DCN|NEIL1|VEGFA,,0.0,trt,6503.0,NC(CO)(CO)CO
BR00116993,N24,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K22134346-001-22-3,trt,DMSO,simvastatin,ITGB2,HMGCR|ITGB2,HMGCR inhibitor,0.0,trt,54454.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
BR00116993,O01,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K16542329-001-16-8,trt,DMSO,zaprinast,PDE4D,GPR35|PDE1A|PDE4D|PDE5A|PDE9A,phosphodiesterase inhibitor,98.0,trt,5722.0,CCCOc1ccccc1-c1nc2[nH]nnc2c(=O)[nH]1
BR00116993,O02,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A10188456-001-04-9,trt,DMSO,dexamethasone,ANXA1,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,glucocorticoid receptor agonist,79.3,trt,5702035.0,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BR00116993,O03,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K93632104-001-17-2,trt,DMSO,salicylic-acid,AKR1C1,AKR1C1|PTGS1|PTGS2,cyclooxygenase inhibitor,0.0,trt,118212070.0,OC(=O)c1ccccc1O
BR00116993,O04,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A69636825-003-04-7,trt,DMSO,diltiazem,CACNG1,CACNA1C|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5,calcium channel blocker,98.7,trt,3076.0,COc1ccc(cc1)C1Sc2ccccc2N(CCN(C)C)C(=O)C1OC(C)=O
BR00116993,O05,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K19227686-001-18-6,trt,DMSO,phenolphthalein,UGT1A9,UGT1A9,indicator dye,98.4,trt,4764.0,Oc1ccc(cc1)C1(OC(=O)c2ccccc12)c1ccc(O)cc1
BR00116993,O06,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-K98763141-001-30-8,trt,DMSO,niflumic-acid,UGT1A9,ANO1|CLCN1|CLCNKA|CLCNKB|KCNQ1|PLA2G1B|PLA2G4A|PTGS1|PTGS2|UGT1A9,cyclooxygenase inhibitor,95.6,trt,4488.0,OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F
BR00116993,O07,val,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116993,O08,val,2020_11_04_CPJUMP1,compound,A549,24,BRD-A15397381-001-02-5,trt,DMSO,L-Cystine,SLC7A11,CTNS|SLC3A1|SLC7A11|SLC7A9,,0.0,trt,24798687.0,NC(CSSCC(N)C(O)=O)C(O)=O
